文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
実登3234443,            実願2021-002167,2021/06/06,2021/10/14,踏み面が上を向くペダルプレート,竹谷　俊哉,",B62M3/08@Z,"
特開2021-151858,            特願2021-047062,2021/03/22,2021/09/30,傾斜角度可変式ペダル装置,金谷　莉沙              他,",B62M3/08@B,"
特開2021-151471,            特願2021-037630,2021/03/09,2021/09/30,若雌鶏にワクチンを送達するためのワクチン接種システム、ならびに関連する方法、デバイス、及びアセンブリ,ゾエティス・サービシーズ・エルエルシー,",A61D1/02@B,"
特開2021-142914,            特願2020-043425,2020/03/12,2021/09/24,自転車,本田技研工業株式会社,",B62M3/00@Z,B62M6/40,B62M6/90,他,"
特開2021-129986,            特願2021-024446,2021/02/18,2021/09/09,遠位橈骨安定化システム,グローバス　メディカル　インコーポレイティッド,",A61B17/80,A61B17/90,"
特開2021-121260,            特願2020-014800,2020/01/31,2021/08/26,スキー靴,阿部　英樹,",A43B5/04@D,"
特開2021-120912,            特願2021-088041,2021/05/26,2021/08/19,データ送信機能を含む履物製品,ナイキ　イノベイト　シーブイ,",G06Q30/02,398,"
特開2021-107826,            特願2021-069308,2021/04/15,2021/07/29,分析評価装置、方法、および試薬,メソ　スケール　テクノロジーズ　エルエルシー,",G01N35/04@E,"
特開2021-069410,            特願2019-195927,2019/10/29,2021/05/06,スキー用アイゼン,株式会社エコラボ,",A63C7/10@A,"
特開2021-045517,            特願2019-186343,2019/09/18,2021/03/25,特性改造が可能な機構を内蔵したスキー板、及び装着部品,清水　暁,",A63C5/00@A,"
実登3231234,            実願2021-000009,2021/01/04,2021/03/18,パンタグラフジャッキのジャッキ補助具及びそれを備えたパンタグラフジャッキ,有限会社トラストライトサクセス,",B66F3/12@C,B25B21/00@H,"
特開2021-042823,            特願2019-166090,2019/09/12,2021/03/18,ホース,帝国繊維株式会社,",F16L11/02,"
特開2021-039627,            特願2019-161663,2019/09/05,2021/03/11,発想提案支援システム、発想提案支援装置、発想提案支援方法及びプログラム,コニカミノルタ株式会社,",G06F16/903,G06F16/904,"
特開2021-036242,            特願2020-185444,2020/11/05,2021/03/04,基礎器具と取外可能カートリッジとを含む生化学的解析のためのシステム及び方法,イラミーナ　インコーポレーテッド,",G01N35/08@A,G01N37/00,101,C12M1/34@Z,"
特開2021-010771,            特願2020-175971,2020/10/20,2021/02/04,患者用インタフェース及びヘッドギア,フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,",A61M16/06@A,"
特開2021-008363,            特願2020-154179,2020/09/14,2021/01/28,一体化されたクロージャー装置部品および方法,ボア　テクノロジー，インコーポレイテッド,",B65H75/42@E,A43B23/02,104,A43C11/10,他,"
特開2021-000465,            特願2020-146790,2020/09/01,2021/01/07,リールベースのクロージャーシステムを含むようにフットウェアを後付け改装するための方法および装置,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A43B23/02,105@Z,"
特開2020-197008,            特願2019-102087,2019/05/31,2020/12/10,盗難防止装置,株式会社　トップブレイン              他,",E05B73/00@A,A45C13/22@Z,"
特開2020-185411,            特願2020-126059,2020/07/27,2020/11/19,紐締めシステムに使用されるリール,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A44B99/00,601@Z,A44B99/00,611@N,"
特開2020-182749,            特願2019-095540,2019/04/26,2020/11/12,スキー板の特性改造用部品およびスキー板,清水　暁,",A63C5/06@A,"
特開2020-163152,            特願2020-064463,2020/03/31,2020/10/08,流体充填ブラダチャンバを含む調節可能な足支持システム,ナイキ　イノベイト　シーブイ,",A43B13/20@Z,A43B13/14@B,"
特開2020-162632,            特願2019-063322,2019/03/28,2020/10/08,スノーボード用ビンディング,株式会社カーメイト,",A63C10/22,"
特開2020-125420,            特願2019-019466,2019/02/06,2020/08/20,熱可塑性エラストマー組成物およびその用途,三井化学株式会社,",C08L23/02,C08L23/26,C08L1/02,"
特開2020-124595,            特願2020-085164,2020/05/14,2020/08/20,歩行教示システム、歩行教示方法,株式会社ノーニューフォークスタジオ,",A61B5/11,230,A43B13/14@Z,A43C15/00@A,他,"
特開2020-114427,            特願2020-054126,2020/03/25,2020/07/30,隔離セグメントを備える歯科矯正アライナー,アライン　テクノロジー，　インコーポレイテッド,",A61C7/08,"
特開2020-091290,            特願2019-219489,2019/12/04,2020/06/11,繊維複合材部品を試験するための方法、装置、コンピュータプログラム及び機械可読記憶媒体,ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,",G01M99/00@Z,G01N3/30@N,G01M17/007@H,"
特開2020-076565,            特願2019-183515,2019/10/04,2020/05/21,推進装薬粉末用の円筒形の弾薬筒,ニトロヘミー、アッシヤウ、ゲーエムベーハー,",F42B5/192,F42B5/188,"
特開2020-060572,            特願2019-219033,2019/12/03,2020/04/16,分析評価装置、方法、および試薬,メソ　スケール　テクノロジーズ　エルエルシー,",G01N35/04@H,G02B7/38,G03B13/36,他,"
特開2020-039457,            特願2018-167487,2018/09/07,2020/03/19,スキル情報提示装置、スキル情報提示方法、プログラム,日本電信電話株式会社,",A63B69/18@Z,A63B69/00@A,"
特許6639726,            特願2019-147678,2019/08/09,2020/02/05,つり下げ式ペダル及びペダルハンガー,柿見　富雄,",B62M3/08@D,"
特開2020-001578,            特願2018-123661,2018/06/28,2020/01/09,人力駆動車用制御装置,株式会社シマノ,",B62M6/45,B62M6/55,"
特許6920565,            特願2020-573152,2019/06/26,2020/01/02,補強された内側ライナーを備えた複合圧力容器およびそれを製造するプロセス,プラスチック・オムニウム・アドヴァンスド・イノベーション・アンド・リサーチ,",F17C1/06,"
特表2021-528611,            特願2020-572705,2019/06/26,2020/01/02,２つの円筒形セクションを有するタンクライナー,プラスチック・オムニウム・アドヴァンスド・イノベーション・アンド・リサーチ,",F17C1/16,F16J12/00@A,"
特表2021-522457,            特願2020-572513,2019/06/26,2020/01/02,ボスコネクタを備えた複合圧力容器,プラスチック・オムニウム・アドヴァンスド・イノベーション・アンド・リサーチ,",F17C13/00,301@Z,F17C1/06,F17C1/16,"
実登3224552,            実願2019-003931,2019/10/16,2019/12/26,ラチェットバックル,株式会社カーメイト,",A44B11/12,"
特表2021-527896,            特願2020-570736,2019/05/17,2019/12/26,仮想現実の手のジェスチャ生成,バルブ　コーポレーション,",G06F3/01,570,G06F3/0346,422,G06F3/041,600,他,"
特開2019-217765,            特願2019-083396,2019/04/24,2019/12/26,ステッカー、ステッカーの製造方法、ステッカーの取り付け方法、複数のステッカーを含むメモパッド、ステッカーの組み合わせ、および、ブックインサート,リャン，チー　ラン              他,",B42D9/00@A,B42D9/00@Z,B42D15/00,371,"
実登3224471,            実願2019-003822,2019/10/08,2019/12/19,靴の滑り止め具,株式会社ハートフル・ジャパン,",A43C15/02,101,"
特開2019-202733,            特願2018-100754,2018/05/25,2019/11/28,人力駆動車用制御装置,株式会社シマノ,",B62M25/00@Z,B62M9/12,"
再表2019/220784,            特願2020-519497,2019/03/27,2019/11/21,自転車用後付け電機装置及び自転車,本田技研工業株式会社,",B62M6/55,B62M23/02,110,"
特表2021-524916,            特願2020-564742,2019/05/17,2019/11/21,ポリイミド基板を備えた力検知抵抗器（ＦＳＲ）、システム、およびその方法,バルブ　コーポレーション,",G01L1/20@G,A63F13/24,A63F13/92,"
特表2021-524776,            特願2020-564743,2019/05/17,2019/11/21,力検知抵抗器（ＦＳＲ）を含むハンドヘルドコントローラのセンサ融合アルゴリズム,バルブ　コーポレーション,",A63F13/24,A63F13/218,G06F3/0488,他,"
特表2021-522106,            特願2020-560910,2019/04/26,2019/11/07,自動車シートに取り付けるためのインパクトシールドを有するチャイルドシート,サイベックス　ゲーエムベーハー,",B60N2/28,"
特開2019-162486,            特願2019-102075,2019/05/31,2019/09/26,若雌鶏にワクチンを送達するためのワクチン接種システム、ならびに関連する方法、デバイス、及びアセンブリ,ゾエティス・サービシーズ・エルエルシー,",A61D1/02@B,"
特開2019-162224,            特願2018-051042,2018/03/19,2019/09/26,スキービンディング調整治具,株式会社　ゼブラ,",A63C11/26,"
特表2021-519607,            特願2020-567471,2019/02/27,2019/09/06,ゲノムワイド統合による循環腫瘍ＤＮＡの超音波感受性検出,コーネル・ユニバーシティー              他,",C12Q1/6851@Z,G01N33/50@P,C12Q1/6869@Z,他,"
特表2021-514814,            特願2020-567635,2019/02/26,2019/08/29,分離可能な２つの部分から成るスノーボードビンディング,マティアス　アルブレヒト              他,",A63C10/10,A63C10/04,"
特表2021-514283,            特願2020-566333,2019/02/20,2019/08/29,スノーサーフィン用ボード上のブーツ固定具配向調整装置,ブラック　ライン,",A63C10/18,A63C5/00@C,"
特開2019-141537,            特願2018-031388,2018/02/23,2019/08/29,車椅子固定装置,本田技研工業株式会社,",A61G3/08,703,B60P3/00@A,B60P3/07@Z,他,"
特開2019-133697,            特願2019-054358,2019/03/22,2019/08/08,データ送信機能を含む履物製品,ナイキ　イノベイト　セー．　フェー．,",G06Q30/02,398,A43C15/00@A,G16Y10/00,他,"
特開2019-131769,            特願2018-017540,2018/02/02,2019/08/08,スチレン系熱可塑性エラストマー組成物及びその用途,三井化学株式会社,",C08L53/02,B65D65/40@D,C08J5/00,他,"
特開2019-129937,            特願2018-013259,2018/01/30,2019/08/08,スノーボードビンディング用ベルトの倒れ防止構造,株式会社カーメイト,",A63C10/06,"
特開2019-122468,            特願2018-003434,2018/01/12,2019/07/25,スノーボード用ビンディングのハイバック,株式会社カーメイト,",A63C10/02,"
特開2019-118761,            特願2018-002551,2018/01/11,2019/07/22,クリート－ビンディング・セット及びその着脱方法,片山商事株式会社,",A43B13/14@A,B62M3/08@B,A43B5/14,"
特開2019-118654,            特願2018-000843,2018/01/05,2019/07/22,履物用モジュール、及び、履物,株式会社ノーニューフォークスタジオ,",A43B23/24,101,A43B7/14@Z,A43B13/14@Z,"
特開2019-115659,            特願2018-203381,2018/10/30,2019/07/18,スキーシール,有限会社ブンリン,",A63C7/04,A63C7/02,"
特開2019-103766,            特願2017-255311,2017/12/13,2019/06/27,スノーボード用ストッパー,庭野　正信,",A63C11/00,A63C7/10@Z,"
特開2019-072528,            特願2019-000265,2019/01/04,2019/05/16,患者用インタフェース及びヘッドギア,フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,",A61M16/06@A,"
特開2019-069152,            特願2018-209172,2018/11/06,2019/05/09,一体化されたクロージャー装置部品および方法,ボア　テクノロジー，インコーポレイテッド,",A43B23/02,104,A44B99/00,611@N,A43C11/24,"
特開2019-062998,            特願2017-188793,2017/09/28,2019/04/25,リサイクルベンチ,エーフィールズ株式会社              他,",A47C11/00,"
特開2019-055016,            特願2017-181091,2017/09/21,2019/04/11,着座動作補助装置,トヨタ自動車株式会社,",A61H3/00@B,B25J11/00@Z,"
再表2019/066028,            特願2019-545170,2018/09/28,2019/04/04,繊維強化複合材、繊維強化複合材用添加材及び繊維強化複合材の製造方法,Ｓｐｉｂｅｒ株式会社              他,",C08J5/04,B29B15/08,C08K7/06,他,"
実登3220748,            実願2018-004278,2018/10/17,2019/04/04,緩衝シート,株式会社鶴月・社中              他,",A63C10/28,F16F7/00@F,"
特表2020-537778,            特願2020-517436,2018/09/27,2019/04/04,マルチパートデバイスエンクロージャ,アップル　インコーポレイテッド,",G06F1/16,312@E,G09F9/00,350@Z,H04M1/02@C,他,"
特開2019-035758,            特願2018-188890,2018/10/04,2019/03/07,分析評価装置、方法、および試薬,メソ　スケール　テクノロジーズ　エルエルシー,",G01N21/01@B,G01N21/76,G01N21/78@C,他,"
実登3229749,            実願2020-600029,2018/08/20,2019/02/28,流体充填ブラダチャンバを含む調節可能な足支持システム,ナイキ　イノベイト　シーブイ,",A43B3/00,A43B13/20@Z,"
特表2020-531158,            特願2020-511352,2018/08/22,2019/02/28,スナップフィットゴルフバッグアセンブリ,カーステン　マニュファクチュアリング　コーポレーション,",A63B55/40,A45C11/00@Z,"
再表2019/031442,            特願2019-535642,2018/08/06,2019/02/14,血流改善剤,湧永製薬株式会社,",A61K31/198,A61K36/8962,A61P9/00,他,"
特表2020-528337,            特願2020-526670,2018/07/24,2019/01/31,靴用の歩行補助具、靴と歩行補助具を有する靴システム及び歩行補助具とストックからなるシステム,エルエムヨット　コマーセ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A43B5/04@Z,"
特表2020-529181,            特願2019-521692,2018/07/09,2019/01/17,可搬型で多構成可能なモジュール式発電プラットフォーム,ニュアンス　エナジー　グループ，インコーポレイテッド,",H02S20/30@E,H02S20/10@D,H02S20/30@A,他,"
特開2019-006284,            特願2017-124700,2017/06/27,2019/01/17,ルーフキャリア,山下　修三,",B60R9/045,B60R9/12,"
特表2020-523257,            特願2019-566329,2018/06/08,2018/12/13,断熱デバイス,イエティ　クーラーズ　エルエルシー,",B65D81/38@B,"
特許6436550,            特願2018-016126,2018/02/01,2018/12/12,滑降用具,峰岸　秀暢,",A63C17/06,"
再表2018/207388,            特願2019-516884,2017/11/13,2018/11/15,モーションキャプチャに関するプログラム、装置および方法,ブレイン株式会社,",G06T7/20,300@Z,A63B69/18@Z,G06T7/70@Z,"
特表2020-519722,            特願2019-561842,2018/05/04,2018/11/15,ＰＥＢＡベースの組成物、及び耐疲労性の透明な物体を製造するための、該組成物の使用,アルケマ　フランス,",C08G81/00,C08G69/08,"
特表2020-519719,            特願2019-561760,2018/05/04,2018/11/15,ＰＥＢＡベースの組成物、及び耐疲労性の透明な物体を製造するための、該組成物の使用,アルケマ　フランス,",C08G81/00,C08G69/26,"
特開2018-175247,            特願2017-077627,2017/04/10,2018/11/15,ブーツ当接部材、およびスノーボード用ビンディング,株式会社カーメイト,",A43B5/04@S,A43B5/00,310,A43B5/04@R,"
特開2018-172553,            特願2017-072011,2017/03/31,2018/11/08,熱可塑性エラストマー組成物,三井化学株式会社,",C08L23/00,C08J3/20@Z,C08J3/20,他,"
特開2018-172532,            特願2017-071701,2017/03/31,2018/11/08,熱可塑性重合体組成物及びその用途,三井化学株式会社,",C08L23/20,C08L23/08,C08L23/00,他,"
特開2018-165925,            特願2017-063272,2017/03/28,2018/10/25,情報処理システム、情報処理方法、情報処理プログラム,株式会社ノーニューフォークスタジオ,",G06F3/01,510,A63F13/24,G06F3/01,560,"
特開2018-145406,            特願2018-013790,2018/01/30,2018/09/20,スチレン系熱可塑性エラストマー組成物及びその用途,三井化学株式会社,",C08L53/02,C08L23/10,"
特開2018-143412,            特願2017-040294,2017/03/03,2018/09/20,歩行教示システム、歩行教示方法,株式会社ノーニューフォークスタジオ,",A43C15/00@A,A61B5/11,230,"
特表2020-511361,            特願2019-570348,2018/03/08,2018/09/13,水中推進装置,ロビンソン　ブランドン　シー,",B63B35/79@C,B63C11/46,A63B35/12,他,"
特開2018-118076,            特願2018-038331,2018/03/05,2018/08/02,リールベースのクロージャーシステムを含むようにフットウェアを後付け改装するための方法および装置,ボア　テクノロジー，インコーポレイテッド,",A43C11/16,"
特開2018-118075,            特願2018-038326,2018/03/05,2018/08/02,紐締めシステムに使用されるリール,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A43B23/02,105,"
特開2018-114979,            特願2018-075049,2018/03/22,2018/07/26,スライドビンディングペダル,菅　茂,",B62M3/08@Z,"
特開2018-112316,            特願2018-021638,2018/02/09,2018/07/19,増分式解除機構を含む閉鎖装置,ボア　テクノロジー，インコーポレイテッド,",F16G11/12@B,F16D41/18@Z,A61F5/02@D,他,"
特開2018-110730,            特願2017-003340,2017/01/12,2018/07/19,筋肉活動状態解析システム、筋肉活動状態解析方法およびプログラム,ブリヂストンサイクル株式会社,",A61B5/04,330,A63B22/06@J,A63B69/16,"
特開2018-094357,            特願2016-257872,2016/12/15,2018/06/21,平ベルト自転車走行練習装置,荒井　正,",A63B69/16,B62H7/00,"
特開2018-094293,            特願2016-244226,2016/12/16,2018/06/21,ラチェットバックル,株式会社カーメイト,",A44B11/12,"
特表2019-536634,            特願2019-526611,2017/11/16,2018/05/24,連続した帯状の複合材料を製造する方法及び装置,エス・エム・エス・グループ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング,",B22D11/12@A,B21B1/46@Z,B21B1/22@B,他,"
特表2020-513321,            特願2019-526612,2017/11/16,2018/05/24,連続した帯状の複合材料を製造する方法及び装置,エス・エム・エス・グループ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング,",B23K20/04@C,B21B1/22@B,C21D9/60,101,他,"
特表2019-535526,            特願2019-526615,2017/11/16,2018/05/24,連続した帯状の複合材料を製造する方法及び装置,エス・エム・エス・グループ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング,",B22D11/00@N,B22D11/12@A,B21B1/22@B,他,"
特開2018-044380,            特願2016-180619,2016/09/15,2018/03/22,縁石、境界ブロック、及び道路構造,株式会社イトーヨーギョー              他,",E01F9/541,E01C11/22@B,E01C11/22@A,他,"
特許6291150,            特願2017-559146,2016/12/27,2018/03/14,スノーボード用制御装置,ｉ－ＭＡＧＩＣ有限会社              他,",A63C10/14,A63C10/26,"
特表2019-529976,            特願2019-511859,2017/09/01,2018/03/08,網状反射材,スリーエム　イノベイティブ　プロパティズ　カンパニー,",G02B5/124,A41D31/00,502@Z,"
特開2018-034566,            特願2016-167415,2016/08/29,2018/03/08,自転車,井本　浩司              他,",B62M1/10@A,"
特開2018-020187,            特願2017-195399,2017/10/05,2018/02/08,患者用インタフェース及びヘッドギア,フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,",A61M16/06@A,"
特開2018-019990,            特願2016-154203,2016/08/05,2018/02/08,スノーボードの摺動弾性式重心安定滑走補助構造,株式会社　黒川工業              他,",A63C5/00@C,"
特開2017-218802,            特願2016-114223,2016/06/08,2017/12/14,履いたままで移動可能な高所作業用足場,上石　修二              他,",E06C1/39@A,E01D22/00@A,"
実登3213177,            実願2017-002126,2017/05/12,2017/10/26,スノーボード用ベースプレート,有限会社滝製作所,",A63C10/14,"
特開2017-193329,            特願2017-080125,2017/04/13,2017/10/26,飛行装置、飛行装置用アダプター,株式会社ＨＹＤＲＯＦＬＩＧＨＴ　ＪＡＰＡＮ,",B64C39/02,A63B35/00,B63H11/02,他,"
特開2017-188102,            特願2017-062599,2017/03/28,2017/10/12,データ送信機能を含む履物製品,ナイキ　イノベイト　セー．　フェー．,",G06Q30/02,398,A43C15/00@A,"
特開2017-149401,            特願2016-036506,2016/02/28,2017/08/31,スキーやスノーボードを平地や登り坂で滑走可能にする車両,峰岸　秀暢,",B62M27/02@A,"
特開2017-140292,            特願2016-024940,2016/02/12,2017/08/17,スノーボード用ビンディング,株式会社カーメイト,",A63C5/00@C,A63C9/00@B,A63C10/06,"
特表2019-506936,            特願2018-539089,2016/09/15,2017/08/03,折り畳み式スキー,エラン　ディー．オー．オー．,",A63C5/02@A,A63C5/06@B,"
特開2017-135720,            特願2017-037415,2017/02/28,2017/08/03,ネットワークを管理する及び安全にするためのネットワークオペレーティングシステム,ニシラ，　インコーポレイテッド,",H04L12/66@B,H04L12/22,"
特開2017-127375,            特願2016-007222,2016/01/18,2017/07/27,スノーボード,ヨネックス株式会社,",A63C5/00@C,"
特開2017-123000,            特願2016-000915,2016/01/06,2017/07/13,スキー用品レンタルシステム、スキー用品レンタル装置、スキー用品レンタルサービス提供方法、およびスキー用品レンタルサービス提供プログラム,キッセイコムテック株式会社              他,",G06Q30/06,200,G06Q30/06,150,G06Q30/06,300,他,"
特表2019-500159,            特願2018-534643,2016/12/29,2017/07/06,幅調整機能を有する履物,ミズノ・ユー・エス・エイ・インコーポレイテッド,",A43B3/26,"
特許6153685,            特願2017-077947,2017/04/11,2017/06/28,スノーボードビンディング用プレート,株式会社　ＪＰ　ＴＩＧＨＴ,",A63C10/18,A63C10/00,A63C5/00@C,"
特開2017-109648,            特願2015-246447,2015/12/17,2017/06/22,乗用装置、動力発生装置、運搬装置および運動装置,吉辰　桜男,",B62M1/32,B62K3/02,B62M9/00@B,"
特開2017-101050,            特願2017-007296,2017/01/19,2017/06/08,Ｓ１００Ａ４抗体およびその治療上の使用,リケラ　バイオメッド　エスエー,",C07K16/32,G01N33/574@A,G01N33/577@B,他,"
特表2018-537850,            特願2018-522124,2016/06/08,2017/05/26,ダイボンディング基板、高密度集積ＣＯＢ白色光源、及びその製造方法,福建中科芯源光電科技有限公司,",H01L33/62,H01L33/60,H01L33/50,他,"
特表2018-534405,            特願2018-526136,2016/11/14,2017/05/26,改善された寸法安定性を示すアモルファスポリアミドベースの組成物,アルケマ　フランス,",C08L77/00,"
特開2017-038785,            特願2015-162401,2015/08/20,2017/02/23,ボード支持装置および支持ユニット,コトヒラ工業株式会社,",A63C11/02@A,"
再表2017/026456,            特願2017-534450,2016/08/08,2017/02/16,気体分離膜,旭化成株式会社,",B01D71/08,B01D69/02,"
特開2017-029335,            特願2015-151530,2015/07/31,2017/02/09,エルボークラッチ,学校法人常翔学園              他,",A61H3/02@A,A45B1/04@Z,"
特表2018-523023,            特願2018-503501,2016/07/12,2017/01/26,ドライスーツ,ジー－ニアス　ピーティーイー．　エルティーディー．              他,",A41D13/012,A41D31/00,501@B,A41D31/00,501@J,他,"
特許6060465,            特願2015-146690,2015/07/24,2017/01/18,スノーボードビンディング,株式会社　ネオスノーレンタル,",A63C10/28,A63C9/02,"
特表2018-513759,            特願2018-502623,2016/04/01,2016/10/06,スノースポーツ用具のワクシング装置及び方法,スキークイッキー，インコーポレイテッド,",A63C11/08,"
再表2016/152711,            特願2017-508284,2016/03/17,2016/09/29,熱可塑性エラストマー組成物、その用途、その製造方法、エチレン・α－オレフィン・非共役ポリエン共重合体およびその用途,三井化学株式会社,",C08J3/24@Z,C08L23/02,C08L23/08,他,"
特開2016-165490,            特願2016-084265,2016/04/20,2016/09/15,紐締めシステムに使用されるリール,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A43B23/02,105,"
特開2016-108765,            特願2014-244916,2014/12/03,2016/06/20,ガレージ用雨樋固定具,株式会社長谷工コーポレーション,",E04D13/072,502@V,E04H6/02@C,E04D13/064@A,"
特表2017-537687,            特願2017-525533,2015/11/11,2016/05/19,隔離セグメントを備える歯科矯正アライナー,アライン　テクノロジー，　インコーポレイテッド,",A61C7/08,"
特表2017-533394,            特願2017-540964,2015/10/13,2016/04/28,複合圧力タンク識別および追跡,クォンタム　フューエル　システムズ　エルエルシー,",F17C13/02,301@Z,"
実登3203869,            実願2016-000593,2016/02/09,2016/04/21,包被部材付き弓毛用塗布剤,株式会社アルシェ,",G10G7/00,"
特表2017-537749,            特願2017-540334,2015/10/15,2016/04/21,スノーシュー,ロバート・アーウィン・ベーレンス,",A63C13/02,A43B3/16@C,A43B3/16@Z,他,"
特開2016-054802,            特願2014-181606,2014/09/05,2016/04/21,歩行支援装置の制御方法及び歩行支援装置,トヨタ自動車株式会社,",A61H3/00@B,B25J11/00@Z,"
特開2016-047259,            特願2015-211566,2015/10/28,2016/04/07,リールおよびそのリールを備えた履物,ボア　テクノロジー，インコーポレイテッド,",A43C11/20,A43B23/02,105@Z,"
特開2016-039921,            特願2015-211561,2015/10/28,2016/03/24,リールおよびそのリールを備えた履物,ボア　テクノロジー，インコーポレイテッド,",A43C7/08,A43C11/20,A43B23/02,105@Z,"
特開2016-028754,            特願2015-211563,2015/10/28,2016/03/03,リールおよびそのリールを備えた履物,ボア　テクノロジー，インコーポレイテッド,",A43C11/16,A43C11/10,"
実登3201789,            実願2015-003015,2015/05/28,2016/01/07,空圧式回転補助装置,高島　宗平,",F01B13/06,"
特開2016-000265,            特願2015-164900,2015/08/24,2016/01/07,患者用インタフェース及びヘッドギア,フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,",A61M16/06@A,"
特開2015-226667,            特願2014-113731,2014/06/02,2015/12/17,スキー用プレート,株式会社　ハンクス,",A63C9/00@C,"
特表2017-522545,            特願2016-569726,2015/05/27,2015/12/03,基礎器具と取外可能カートリッジとを含む生化学的解析のためのシステム及び方法,イラミーナ　インコーポレーテッド,",G01N35/08@A,G01N37/00,101,"
特開2015-200671,            特願2015-133622,2015/07/02,2015/11/12,力および動作変化のうちの少なくとも一方をコンフォーマルに検知する方法および装置,エムシー１０　インコーポレイテッド,",G01L5/00@F,G01P15/00@C,A42B3/04,"
特表2017-515624,            特願2017-507040,2015/04/22,2015/10/29,滑走ボディと周回するベルト用のドライブとを有するスポーツ器具,エービーピー　パテント　ネットワーク　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/035,A63C5/08,"
実登3200288,            実願2015-003729,2015/07/24,2015/10/15,警備装置,▲寧▼波市江▲東▼区大口▲貿▼易有限公司,",E05B47/00@J,"
特開2015-173462,            特願2015-087040,2015/04/21,2015/10/01,ネットワークを管理する及び安全にするためのネットワークオペレーティングシステム,ニシラ，　インコーポレイテッド,",H04L12/66@B,H04L12/741,H04L12/70@D,他,"
特開2015-134093,            特願2014-007032,2014/01/17,2015/07/27,スノーボード用ビンディング,株式会社カーメイト,",A63C10/24,"
再表2015/107682,            特願2015-557660,2014/01/18,2015/07/23,雪面滑走具,北澤　澤登,",A63C5/00@Z,A63C5/00@B,"
特開2015-128487,            特願2014-000585,2014/01/06,2015/07/16,スノーボード用ビンディング,株式会社カーメイト,",A63C5/00@C,A63C10/06,"
特表2016-537107,            特願2016-531640,2014/11/20,2015/05/28,若雌鶏にワクチンを送達するためのワクチン接種システム、ならびに関連する方法、デバイス、及びアセンブリ,ゾエティス・サービシーズ・エルエルシー,",A61D1/02@B,"
特開2015-084864,            特願2013-224296,2013/10/29,2015/05/07,スキー練習装置,株式会社フジテクニカ,",A63B69/18@A,"
特開2015-080454,            特願2013-220630,2013/10/23,2015/04/27,フライキャスティングのサポート具及びフライロッド,株式会社シマノ,",A01K87/00,620@D,A01K87/00,640@Z,A01K87/08@A,他,"
特表2016-539888,            特願2016-518711,2014/10/01,2015/04/09,希土類金属酸化物による表面処理,フラウンホファー　ゲセルシャフト　ツール　フェールデルンク　ダー　アンゲヴァンテン　フォルシュンク　エー．ファオ．,",C03C17/245@A,C09D1/00,C23C14/08@J,他,"
特表2016-527965,            特願2016-530271,2014/08/01,2015/02/05,乗ることができるボード組立体およびその構成要素,デヴィッド・エルフィック,",A63C5/00@C,"
特開2015-017989,            特願2014-164849,2014/08/13,2015/01/29,力および動作変化のうちの少なくとも一方をコンフォーマルに検知する方法および装置,エムシー１０　インコーポレイテッド,",A42B3/04,G01L5/00@F,G01P15/00@C,"
特表2015-528735,            特願2015-527414,2014/07/16,2015/01/22,スノーボード,キム　ドクス,",A63C5/03,A63C5/052,"
特表2016-525393,            特願2016-525791,2014/07/10,2015/01/15,増分式解除機構を含む閉鎖装置およびそのための方法,ボア　テクノロジー，インコーポレイテッド,",A43C11/08,F16G11/12@B,A61F5/01,他,"
特表2015-526222,            特願2015-529077,2014/07/10,2015/01/15,スパイク又はスパイク収容部を備えた運動靴,エボニック　インダストリーズ　アクチエンゲゼルシャフト              他,",A43C15/02,101,A43B5/00,A43C15/02,102,他,"
実登3204115,            実願2016-600022,2014/06/03,2014/12/24,オートバイ運転者及び極めて危険な活動に従事する人々のためのヘルメット,アレクサンドル　アレクサンドロヴィチ　コロトフ,",A42B3/04,"
特表2016-526974,            特願2016-521892,2014/06/23,2014/12/24,未熟児のための頭部ポジショニング補助具,トートル・プロダクツ，エルエルシー              他,",A61F5/00@Z,A61F13/12,A61F13/00,355@S,他,"
特表2016-520401,            特願2016-518004,2014/06/05,2014/12/11,一体化されたクロージャー装置部品および方法,ボア　テクノロジー　インコーポレイテッド,",A43C11/24,A43C9/08,"
特開2014-230799,            特願2014-142043,2014/07/10,2014/12/11,データ送信機能を含む履物製品,ナイキ　イノベイト　セー．　フェー．,",A43B5/00,A43C15/00@A,A61B5/10,310@G,他,"
