文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開2001-234025,            特願2000-375802,2000/12/11,2001/08/28,ポリアセタール樹脂組成物,旭化成ケミカルズ株式会社,",C08J5/00,C08K3/22,C08K5/098,他,"
特開2001-231906,            特願2000-044840,2000/02/22,2001/08/28,滑走装置,磯　伸明,",A63C5/044,"
特表2003-522959,            特願2001-559606,2001/02/09,2001/08/23,ビードを分配し移送するシステム及び方法,グラクソ　グループ　リミテッド,",B01J4/00,105@D,B01L11/00,B01L99/00,他,"
特開2001-208030,            特願2000-267435,2000/09/04,2001/08/03,確保ディスク,ベンテレル　アクチェンゲゼルシャフト,",F16B39/24@Z,"
特開2001-204873,            特願2000-017424,2000/01/26,2001/07/31,スノーボード収納ケース,株式会社キャメル,",A63C5/00@C,A63C11/02@E,"
特開2001-190731,            特願2000-037232,2000/01/11,2001/07/17,タイヤスケート,小林　正登,",A63C17/02,A63C17/14,B62D61/08,"
実登3103231,            実願2003-600096,2001/01/04,2001/07/12,ハイバックのための翼形状脚支持体,ザ・バートン・コーポレイション,",A43B5/04@Z,A43B7/20,A63C5/00@C,他,"
実登3089802,            実願2001-600040,2001/01/08,2001/07/12,多数の材料から形成されるハイバック,ザ・バートン・コーポレイション,",A63C5/00@C,A63C9/00,101@M,A63C9/02,他,"
特開2001-187176,            特願2000-369974,2000/12/05,2001/07/10,特にスノーボードビンディング用の調節装置,ベネトン　グループ　ソシエタ　ペル　アチオニ,",A63C5/00@C,A63C9/00,101@J,A63C9/02,他,"
特開2001-161886,            特願平11-347378,1999/12/07,2001/06/19,スキー靴の踵安全拘束具,中村産業株式会社,",A63C9/00@B,A63C9/00@Z,A63C9/04,他,"
特表2003-516433,            特願2001-543604,2000/12/09,2001/06/14,多糖類のα－アミラーゼ耐性デンプンの含有量（ＲＳ含有量）を増加する方法、多糖類、その使用およびこれらの多糖類を含有する食品,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A23L1/308,C08B37/00@Z,C12P19/08,他,"
特開2001-160125,            特願平11-344310,1999/12/03,2001/06/12,ＩＣカードの製造方法,株式会社ルネサステクノロジ,",G06K17/00@E,G06K19/00@K,G06K19/00@N,他,"
特開2001-149518,            特願平11-340979,1999/11/30,2001/06/05,スノーボード練習装置,有限会社　ティエスコム,",A63B69/18@Z,A63C5/00@C,"
特表2003-513754,            特願2001-537694,2000/10/06,2001/05/25,医療用溶液のためのマルチチャンバー容器および製造方法,バクスター・インターナショナル・インコーポレイテッド,",A61J1/00,331@A,A61J1/00,331@C,A61J1/00,351@A,他,"
特表2003-513728,            特願2001-537583,2000/11/14,2001/05/25,スポーツ靴、特にスキー靴,アトミック　オーストリア　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A43B5/04@C,A43B5/04@P,"
